agency,name,team_lead,on_multiple_teams,most_recent_employment,most_recent_employment_standardized,employment_retired_indicated,source_of_funding,idstring,namestring
Department of Transportation,Austin Brown,,,"University of California, Davis",UNIVERSITY OF CALIFORNIA,NA,Volunteer,"Austin BrownUniversity of California, DavisDepartment of Transportation","Austin BrownUniversity of California, Davis"
Department of Housing and Urban Development,Ben J. Winter,,,California Community Foundation,CALIFORNIA COMMUNITY FOUNDATION,NA,Volunteer,Ben J. WinterCalifornia Community FoundationDepartment of Housing and Urban Development,Ben J. WinterCalifornia Community Foundation
Department of Defense,David Kessler,,Y,"University of California, San Francisco",UNIVERSITY OF CALIFORNIA,NA,Volunteer,"David KesslerUniversity of California, San FranciscoDepartment of Defense","David KesslerUniversity of California, San Francisco"
Department of Health and Human Services,David Kessler,,Y,"University of California, San Francisco",UNIVERSITY OF CALIFORNIA,NA,Volunteer,"David KesslerUniversity of California, San FranciscoDepartment of Health and Human Services","David KesslerUniversity of California, San Francisco"
Department of Homeland Security,David Kessler,,Y,"University of California, San Francisco",UNIVERSITY OF CALIFORNIA,NA,Volunteer,"David KesslerUniversity of California, San FranciscoDepartment of Homeland Security","David KesslerUniversity of California, San Francisco"
Department of Labor,Doug Parker,,,"State of California, Department of Industrial Relations",STATE OF CALIFORNIA,NA,Volunteer,"Doug ParkerState of California, Department of Industrial RelationsDepartment of Labor","Doug ParkerState of California, Department of Industrial Relations"
Department of Energy,Hannah Lee,,,"State of California, Office of Digital Innovation",STATE OF CALIFORNIA,NA,Volunteer,"Hannah LeeState of California, Office of Digital InnovationDepartment of Energy","Hannah LeeState of California, Office of Digital Innovation"
Small Business Administration,Isabel Guzman,,,"State of California, Governor’s Office of Business & Economic Development",STATE OF CALIFORNIA,NA,Volunteer,"Isabel GuzmanState of California, Governor’s Office of Business & Economic DevelopmentSmall Business Administration","Isabel GuzmanState of California, Governor’s Office of Business & Economic Development"
Department of Veterans Affairs,Jerry SH Lee,,,"Ellison Institute, University of Southern California",UNIVERSITY OF SOUTHERN CALIFORNIA,NA,Volunteer,"Jerry SH LeeEllison Institute, University of Southern CaliforniaDepartment of Veterans Affairs","Jerry SH LeeEllison Institute, University of Southern California"
Consumer Financial Protection Bureau,Manny Alvarez,,,California Department of Financial Protection & Innovation,STATE OF CALIFORNIA,NA,Volunteer,Manny AlvarezCalifornia Department of Financial Protection & InnovationConsumer Financial Protection Bureau,Manny AlvarezCalifornia Department of Financial Protection & Innovation
Department of the Treasury,Mehrsa Baradaran,,Y,"University of California, Irvine School of Law",UNIVERSITY OF CALIFORNIA,NA,Volunteer,"Mehrsa BaradaranUniversity of California, Irvine School of LawDepartment of the Treasury","Mehrsa BaradaranUniversity of California, Irvine School of Law"
"Federal Reserve, Banking and Securities Regulators",Mehrsa Baradaran,,Y,"University of California, Irvine School of Law",UNIVERSITY OF CALIFORNIA,NA,Volunteer,"Mehrsa BaradaranUniversity of California, Irvine School of LawFederal Reserve, Banking and Securities Regulators","Mehrsa BaradaranUniversity of California, Irvine School of Law"
United States Department of Agriculture,Nicholas Anthis,,,University of California,UNIVERSITY OF CALIFORNIA,NA,Volunteer,Nicholas AnthisUniversity of CaliforniaUnited States Department of Agriculture,Nicholas AnthisUniversity of California
Department of Labor,Patricia Moscoso,,,State of California,STATE OF CALIFORNIA,NA,Volunteer,Patricia MoscosoState of CaliforniaDepartment of Labor,Patricia MoscosoState of California
Department of Transportation,Patty Monahan,,,California Energy Commission,STATE OF CALIFORNIA,NA,Volunteer,Patty MonahanCalifornia Energy CommissionDepartment of Transportation,Patty MonahanCalifornia Energy Commission
Department of Health and Human Services,Perrie Briskin,,,"University of California, Berkeley",UNIVERSITY OF CALIFORNIA,NA,Volunteer,"Perrie BriskinUniversity of California, BerkeleyDepartment of Health and Human Services","Perrie BriskinUniversity of California, Berkeley"
Department of Energy,R Ramesh,,,"University of California, Berkeley",UNIVERSITY OF CALIFORNIA,NA,Volunteer,"R RameshUniversity of California, BerkeleyDepartment of Energy","R RameshUniversity of California, Berkeley"
Department of Energy,Rachel Slaybaugh,,,"University of California, Berkeley",UNIVERSITY OF CALIFORNIA,NA,Volunteer,"Rachel SlaybaughUniversity of California, BerkeleyDepartment of Energy","Rachel SlaybaughUniversity of California, Berkeley"
Department of Transportation,Toks Omishakin,,,California Department of Transportation,STATE OF CALIFORNIA,NA,Volunteer,Toks OmishakinCalifornia Department of TransportationDepartment of Transportation,Toks OmishakinCalifornia Department of Transportation
